Дата,Открытие,Закрытие,Мин,Макс,
18.09.2018,109880,109860,109860,109890,
18.09.2018,109880,109860,109860,109890,
18.09.2018,109850,109840,109840,109860,
18.09.2018,109840,109900,109840,109920,
18.09.2018,109900,109910,109880,109920,
18.09.2018,109910,109920,109890,109920,
18.09.2018,109910,109870,109860,109920,
18.09.2018,109870,109870,109860,109880,
18.09.2018,109870,109840,109830,109870,
18.09.2018,109840,109870,109840,109870,
18.09.2018,109870,109870,109870,109890,
18.09.2018,109890,109870,109870,109900,
18.09.2018,109870,109940,109870,109950,
18.09.2018,109950,109880,109880,109950,
18.09.2018,109880,109860,109850,109910,
18.09.2018,109850,109800,109770,109870,
18.09.2018,109800,109830,109770,109880,
18.09.2018,109830,109850,109830,109860,
18.09.2018,109850,109810,109780,109890,
18.09.2018,109810,109790,109790,109810,
18.09.2018,109800,109800,109790,109820,
18.09.2018,109810,109800,109800,109820,
18.09.2018,109800,109810,109770,109820,
18.09.2018,109800,109810,109800,109820,
18.09.2018,109810,109820,109810,109840,
18.09.2018,109820,109810,109810,109840,
18.09.2018,109820,109810,109810,109820,
18.09.2018,109810,109810,109800,109810,
18.09.2018,109820,109810,109810,109820,
18.09.2018,109820,109750,109740,109820,
18.09.2018,109760,109800,109750,109800,
18.09.2018,109820,109790,109780,109820,
18.09.2018,109790,109790,109780,109810,
18.09.2018,109780,109790,109780,109790,
18.09.2018,109790,109790,109770,109790,
18.09.2018,109790,109780,109770,109790,
18.09.2018,109780,109710,109670,109780,
18.09.2018,109710,109740,109700,109740,
18.09.2018,109740,109740,109730,109750,
18.09.2018,109740,109750,109730,109750,
18.09.2018,109760,109750,109730,109760,
18.09.2018,109740,109730,109730,109740,
18.09.2018,109730,109730,109720,109740,
18.09.2018,109740,109740,109740,109760,
18.09.2018,109740,109770,109730,109770,
18.09.2018,109770,109820,109770,109830,
18.09.2018,109830,109810,109810,109840,
18.09.2018,109820,109800,109800,109820,
18.09.2018,109840,109820,109810,109840,
18.09.2018,109830,109870,109820,109870,
18.09.2018,109870,109870,109870,109900,
18.09.2018,109880,109860,109860,109880,
18.09.2018,109870,109840,109840,109870,
18.09.2018,109850,109810,109810,109850,
18.09.2018,109810,109810,109800,109820,
18.09.2018,109820,109840,109820,109850,
18.09.2018,109850,109850,109850,109880,
18.09.2018,109860,109810,109810,109870,
18.09.2018,109830,109840,109830,109860,
18.09.2018,109850,109810,109810,109850,
18.09.2018,109810,109760,109760,109810,
18.09.2018,109790,109780,109760,109800,
